report_id,report_text,report_type,date,location,activity,hazard,barrier_failure,life_saving_rule,sif_potential,risk_score,risk_level
R0151,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",NEAR_MISS,2026-06-21,Maintenance Yard,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0152,Electrical panel was properly closed and de-energized before inspection.,UNSAFE_ACT,2026-04-21,Tank Farm 3,Electrical,ELECTRICAL,,Electrical,0,58,MEDIUM
R0153,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_ACT,2026-02-15,Site C - Refinery,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,61,HIGH
R0154,Worker was not wearing safety glasses in the workshop area.,UNSAFE_ACT,2026-06-26,Site A,Ppe,PPE,,Permit to Work,0,31,MEDIUM
R0155,Hot work permit and fire watch were in place during welding activity.,INCIDENT,2026-03-08,Loading Terminal,Hot Work,HOT_WORK,,Hot Work,0,59,MEDIUM
R0156,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-03-03,Loading Terminal,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0157,Minor gas odor was reported and area was isolated with no ignition sources present.,INCIDENT,2026-03-08,Maintenance Yard,Fire,FIRE,,Fire / Explosion,0,67,HIGH
R0158,Worker was exposed to chemical spill without wearing respirator or protective equipment.,NEAR_MISS,2026-01-26,Maintenance Yard,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0159,Hot work permit and fire watch were in place during welding activity.,UNSAFE_CONDITION,2026-02-15,Pipeline Section 7,Hot Work,HOT_WORK,,Hot Work,0,67,HIGH
R0160,Gas leak was detected near an ignition source with flammable material nearby.,NEAR_MISS,2026-05-15,Tank Farm 3,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0161,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",UNSAFE_ACT,2026-04-13,Pipeline Section 7,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0162,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-07-09,Site A,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0163,Gas leak was detected near an ignition source with flammable material nearby.,INCIDENT,2026-08-27,Tank Farm 3,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0164,Cluttered walkway with minor trip hazard was reported near the warehouse.,NEAR_MISS,2026-04-21,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,33,MEDIUM
R0165,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_CONDITION,2026-02-21,Site A,Fire,FIRE,,Fire / Explosion,0,68,HIGH
R0166,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-03-03,Tank Farm 3,Hot Work,HOT_WORK,,Hot Work,0,56,MEDIUM
R0167,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",UNSAFE_ACT,2026-03-26,Pipeline Section 7,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0168,Electrical panel was left open with exposed live wire near walking path.,UNSAFE_ACT,2026-05-27,Maintenance Yard,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0169,Hot work permit and fire watch were in place during welding activity.,INCIDENT,2026-02-05,Well Pad 12,Hot Work,HOT_WORK,,Hot Work,0,55,MEDIUM
R0170,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-02-26,Loading Terminal,Chemical,CHEMICAL,,Chemical Exposure,0,59,MEDIUM
R0171,Worker entered confined space without atmospheric testing. No standby person was present.,UNSAFE_ACT,2026-08-12,Tank Farm 3,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0172,Gas leak was detected near an ignition source with flammable material nearby.,NEAR_MISS,2026-02-22,Well Pad 12,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0173,Lifting operation followed load chart with rigging inspected prior to lift.,NEAR_MISS,2026-04-21,Site B,Lifting,LIFTING,,Lifting Operations,0,58,MEDIUM
R0174,Worker was exposed to chemical spill without wearing respirator or protective equipment.,INCIDENT,2026-07-04,Site C - Refinery,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0175,Technician performed vessel entry without gas testing during maintenance shutdown.,NEAR_MISS,2026-02-04,Well Pad 12,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0176,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-06-22,Loading Terminal,Electrical,ELECTRICAL,,Electrical,0,57,MEDIUM
R0177,Gas leak was detected near an ignition source with flammable material nearby.,INCIDENT,2026-02-27,Maintenance Yard,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0178,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_ACT,2026-06-07,Maintenance Yard,Fire,FIRE,,Fire / Explosion,0,64,HIGH
R0179,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",UNSAFE_ACT,2026-06-18,Pipeline Section 7,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0180,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-02-28,Maintenance Yard,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0181,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_ACT,2026-01-26,Pipeline Section 7,Confined Space,CONFINED_SPACE,,Confined Space,0,67,HIGH
R0182,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_CONDITION,2026-02-27,Well Pad 12,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,65,HIGH
R0183,Gas leak was detected near an ignition source with flammable material nearby.,NEAR_MISS,2026-03-26,Site A,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0184,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,INCIDENT,2026-05-26,Site C - Refinery,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0185,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-01-12,Well Pad 12,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0186,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-05-02,Site C - Refinery,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0187,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_ACT,2026-02-16,Maintenance Yard,Housekeeping,HOUSEKEEPING,,Permit to Work,0,35,MEDIUM
R0188,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-08-17,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,34,MEDIUM
R0189,Minor gas odor was reported and area was isolated with no ignition sources present.,NEAR_MISS,2026-08-21,Site A,Fire,FIRE,,Fire / Explosion,0,64,HIGH
R0190,Technician performed vessel entry without gas testing during maintenance shutdown.,NEAR_MISS,2026-02-16,Maintenance Yard,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0191,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_CONDITION,2026-02-05,Tank Farm 3,Confined Space,CONFINED_SPACE,,Confined Space,0,60,MEDIUM
R0192,Minor gas odor was reported and area was isolated with no ignition sources present.,NEAR_MISS,2026-07-20,Tank Farm 3,Fire,FIRE,,Fire / Explosion,0,73,HIGH
R0193,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-02-26,Site B,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0194,Worker was exposed to chemical spill without wearing respirator or protective equipment.,INCIDENT,2026-04-14,Maintenance Yard,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0195,Maintenance was carried out after proper lockout tagout isolation was verified.,INCIDENT,2026-07-14,Site B,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,65,HIGH
R0196,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",INCIDENT,2026-05-12,Site C - Refinery,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0197,Chemical handling was performed with full PPE and respirator worn as required.,UNSAFE_ACT,2026-02-03,Loading Terminal,Chemical,CHEMICAL,,Chemical Exposure,0,51,MEDIUM
R0198,Worker was observed working at height without a safety harness on the scaffold.,INCIDENT,2026-01-19,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0199,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-07-28,Site A,Chemical,CHEMICAL,,Chemical Exposure,0,50,MEDIUM
R0200,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-02-19,Well Pad 12,Hot Work,HOT_WORK,,Hot Work,0,62,HIGH
R0201,Improper scaffolding was noted with no guardrail installed at elevated platform.,UNSAFE_ACT,2026-02-12,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0202,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-07-28,Site A,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0203,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_ACT,2026-03-09,Tank Farm 3,Fire,FIRE,,Fire / Explosion,0,68,HIGH
R0204,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",UNSAFE_ACT,2026-03-19,Loading Terminal,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0205,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_ACT,2026-02-24,Well Pad 12,Confined Space,CONFINED_SPACE,,Confined Space,0,66,HIGH
R0206,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,NEAR_MISS,2026-03-12,Tank Farm 3,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0207,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_ACT,2026-01-05,Site C - Refinery,Housekeeping,HOUSEKEEPING,,Permit to Work,0,35,MEDIUM
R0208,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-05-15,Loading Terminal,Housekeeping,HOUSEKEEPING,,Permit to Work,0,30,LOW
R0209,Lifting operation followed load chart with rigging inspected prior to lift.,INCIDENT,2026-05-07,Site B,Lifting,LIFTING,,Lifting Operations,0,65,HIGH
R0210,Exclusion zone was maintained and no personnel were in line of fire during the lift.,NEAR_MISS,2026-08-17,Tank Farm 3,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,50,MEDIUM
R0211,Technician performed vessel entry without gas testing during maintenance shutdown.,INCIDENT,2026-01-01,Well Pad 12,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0212,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-05-11,Site B,Hot Work,HOT_WORK,,Hot Work,0,54,MEDIUM
R0213,Worker entered confined space without atmospheric testing. No standby person was present.,UNSAFE_ACT,2026-03-13,Well Pad 12,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0214,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-02-13,Site A,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0215,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-06-19,Loading Terminal,Vehicle,VEHICLE,,Driving,0,50,MEDIUM
R0216,Gas leak was detected near an ignition source with flammable material nearby.,NEAR_MISS,2026-05-04,Loading Terminal,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0217,Worker entered confined space without atmospheric testing. No standby person was present.,INCIDENT,2026-08-27,Pipeline Section 7,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0218,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_CONDITION,2026-07-19,Loading Terminal,Confined Space,CONFINED_SPACE,,Confined Space,0,61,HIGH
R0219,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-06-08,Pipeline Section 7,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0220,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-04-25,Pipeline Section 7,Housekeeping,HOUSEKEEPING,,Permit to Work,0,24,LOW
R0221,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_CONDITION,2026-02-05,Tank Farm 3,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,55,MEDIUM
R0222,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",UNSAFE_ACT,2026-02-06,Maintenance Yard,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0223,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-06-28,Pipeline Section 7,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0224,Improper scaffolding was noted with no guardrail installed at elevated platform.,NEAR_MISS,2026-08-21,Tank Farm 3,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0225,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,NEAR_MISS,2026-02-10,Maintenance Yard,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0226,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-05-03,Site B,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0227,Minor gas odor was reported and area was isolated with no ignition sources present.,INCIDENT,2026-08-19,Site A,Fire,FIRE,,Fire / Explosion,0,71,HIGH
R0228,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",UNSAFE_ACT,2026-06-20,Maintenance Yard,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0229,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-02-26,Pipeline Section 7,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0230,Worker was not wearing safety glasses in the workshop area.,UNSAFE_CONDITION,2026-01-08,Maintenance Yard,Ppe,PPE,,Permit to Work,0,36,MEDIUM
R0231,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",INCIDENT,2026-03-12,Pipeline Section 7,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0232,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-01-26,Pipeline Section 7,Hot Work,HOT_WORK,,Hot Work,0,61,HIGH
R0233,Confined space entry was performed with atmospheric testing completed and standby person present.,INCIDENT,2026-05-09,Site C - Refinery,Confined Space,CONFINED_SPACE,,Confined Space,0,60,MEDIUM
R0234,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",INCIDENT,2026-03-12,Tank Farm 3,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0235,Worker was exposed to chemical spill without wearing respirator or protective equipment.,UNSAFE_ACT,2026-02-10,Loading Terminal,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0236,Worker was exposed to chemical spill without wearing respirator or protective equipment.,INCIDENT,2026-02-21,Loading Terminal,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0237,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-05-06,Well Pad 12,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0238,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",UNSAFE_ACT,2026-03-05,Site B,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0239,Hot work permit and fire watch were in place during welding activity.,UNSAFE_ACT,2026-06-25,Site C - Refinery,Hot Work,HOT_WORK,,Hot Work,0,58,MEDIUM
R0240,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_CONDITION,2026-03-27,Site C - Refinery,Fire,FIRE,,Fire / Explosion,0,62,HIGH
R0241,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,INCIDENT,2026-06-22,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,28,LOW
R0242,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",INCIDENT,2026-08-08,Well Pad 12,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0243,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-08-15,Tank Farm 3,Hot Work,HOT_WORK,,Hot Work,0,59,MEDIUM
R0244,Cluttered walkway with minor trip hazard was reported near the warehouse.,INCIDENT,2026-03-27,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,35,MEDIUM
R0245,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_ACT,2026-08-28,Pipeline Section 7,Fire,FIRE,,Fire / Explosion,0,60,MEDIUM
R0246,Electrical panel was properly closed and de-energized before inspection.,UNSAFE_ACT,2026-05-03,Site C - Refinery,Electrical,ELECTRICAL,,Electrical,0,58,MEDIUM
R0247,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,UNSAFE_ACT,2026-07-03,Well Pad 12,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0248,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-01-13,Pipeline Section 7,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0249,Maintenance was carried out after proper lockout tagout isolation was verified.,NEAR_MISS,2026-04-01,Pipeline Section 7,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,61,HIGH
R0250,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-03-02,Tank Farm 3,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0251,Lifting operation followed load chart with rigging inspected prior to lift.,INCIDENT,2026-01-03,Site A,Lifting,LIFTING,,Lifting Operations,0,58,MEDIUM
R0252,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,INCIDENT,2026-07-04,Tank Farm 3,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0253,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_ACT,2026-04-14,Maintenance Yard,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,59,MEDIUM
R0254,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_ACT,2026-04-23,Site C - Refinery,Confined Space,CONFINED_SPACE,,Confined Space,0,62,HIGH
R0255,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-04-19,Loading Terminal,Hot Work,HOT_WORK,,Hot Work,0,55,MEDIUM
R0256,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_ACT,2026-06-03,Site A,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,74,HIGH
R0257,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,INCIDENT,2026-07-12,Tank Farm 3,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0258,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_ACT,2026-06-08,Site B,Housekeeping,HOUSEKEEPING,,Permit to Work,0,26,LOW
R0259,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_CONDITION,2026-01-12,Pipeline Section 7,Housekeeping,HOUSEKEEPING,,Permit to Work,0,35,MEDIUM
R0260,Worker was exposed to chemical spill without wearing respirator or protective equipment.,NEAR_MISS,2026-08-21,Site C - Refinery,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0261,Improper scaffolding was noted with no guardrail installed at elevated platform.,UNSAFE_ACT,2026-05-07,Site A,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0262,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",NEAR_MISS,2026-07-27,Maintenance Yard,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0263,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,UNSAFE_ACT,2026-05-12,Site A,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0264,Worker was exposed to chemical spill without wearing respirator or protective equipment.,UNSAFE_ACT,2026-06-14,Loading Terminal,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0265,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,NEAR_MISS,2026-03-16,Maintenance Yard,Housekeeping,HOUSEKEEPING,,Permit to Work,0,34,MEDIUM
R0266,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_ACT,2026-07-03,Loading Terminal,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,55,MEDIUM
R0267,Minor gas odor was reported and area was isolated with no ignition sources present.,NEAR_MISS,2026-06-04,Site B,Fire,FIRE,,Fire / Explosion,0,64,HIGH
R0268,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",NEAR_MISS,2026-08-20,Loading Terminal,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0269,Worker was seen working at height with harness properly secured and scaffold inspected.,INCIDENT,2026-01-24,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,66,HIGH
R0270,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_ACT,2026-02-22,Loading Terminal,Fire,FIRE,,Fire / Explosion,0,64,HIGH
R0271,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_CONDITION,2026-01-05,Maintenance Yard,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,61,HIGH
R0272,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-06-12,Loading Terminal,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0273,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-08-12,Pipeline Section 7,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0274,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",UNSAFE_ACT,2026-06-13,Pipeline Section 7,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0275,Worker was exposed to chemical spill without wearing respirator or protective equipment.,UNSAFE_ACT,2026-01-24,Site C - Refinery,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0276,Lifting operation followed load chart with rigging inspected prior to lift.,UNSAFE_ACT,2026-05-25,Tank Farm 3,Lifting,LIFTING,,Lifting Operations,0,63,HIGH
R0277,Worker was not wearing safety glasses in the workshop area.,NEAR_MISS,2026-08-07,Site B,Ppe,PPE,,Permit to Work,0,37,MEDIUM
R0278,Improper scaffolding was noted with no guardrail installed at elevated platform.,UNSAFE_ACT,2026-08-03,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0279,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-05-28,Site C - Refinery,Chemical,CHEMICAL,,Chemical Exposure,0,49,MEDIUM
R0280,Worker was not wearing safety glasses in the workshop area.,NEAR_MISS,2026-04-04,Well Pad 12,Ppe,PPE,,Permit to Work,0,39,MEDIUM
R0281,Improper scaffolding was noted with no guardrail installed at elevated platform.,UNSAFE_ACT,2026-06-18,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0282,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",INCIDENT,2026-02-03,Tank Farm 3,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0283,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,NEAR_MISS,2026-07-27,Site B,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0284,Improper scaffolding was noted with no guardrail installed at elevated platform.,UNSAFE_ACT,2026-08-15,Pipeline Section 7,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0285,Improper scaffolding was noted with no guardrail installed at elevated platform.,INCIDENT,2026-03-25,Site C - Refinery,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0286,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-03-10,Site C - Refinery,Vehicle,VEHICLE,,Driving,0,51,MEDIUM
R0287,Worker was seen working at height with harness properly secured and scaffold inspected.,NEAR_MISS,2026-05-28,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,62,HIGH
R0288,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,INCIDENT,2026-05-05,Tank Farm 3,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0289,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_CONDITION,2026-03-06,Pipeline Section 7,Fire,FIRE,,Fire / Explosion,0,63,HIGH
R0290,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-01-21,Tank Farm 3,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0291,Worker was exposed to chemical spill without wearing respirator or protective equipment.,NEAR_MISS,2026-01-16,Tank Farm 3,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0292,Worker was exposed to chemical spill without wearing respirator or protective equipment.,UNSAFE_ACT,2026-07-10,Maintenance Yard,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0293,Confined space entry was performed with atmospheric testing completed and standby person present.,INCIDENT,2026-07-16,Maintenance Yard,Confined Space,CONFINED_SPACE,,Confined Space,0,56,MEDIUM
R0294,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",UNSAFE_ACT,2026-06-28,Pipeline Section 7,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0295,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_CONDITION,2026-06-17,Site B,Housekeeping,HOUSEKEEPING,,Permit to Work,0,32,MEDIUM
R0296,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",UNSAFE_ACT,2026-05-15,Well Pad 12,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0297,Improper scaffolding was noted with no guardrail installed at elevated platform.,NEAR_MISS,2026-07-28,Loading Terminal,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
